h,u,v
2052,11.258487867950567,1.3142434994041419
2056,12.134003303445787,1.3339370230415848
2060,11.762211291509331,1.1262452012455653
2063,11.674616286291482,1.2093723626261448
2068,11.449616028301673,1.4636085628853477
2072,11.847752579843807,1.2481787020648187
2076,10.49524851611879,1.4291672400280306
2081,10.637443712936573,1.1278884696302256
2085,11.645492808972161,1.5290871014278944
2089,11.865204217975803,1.5008243386028428
2093,11.815934691956775,1.286665320813507
2098,10.972607242547605,1.7065455291251683
2103,10.822774010432132,1.5944662063789299
2107,11.945222816475974,1.8544644902293856
2112,11.16160054123639,1.7553116890828397
2115,12.05301723329979,2.039304990563508
2119,10.925834027992247,1.5678114135880041
2122,10.782461054017963,1.575742203705453
2125,11.72079283519718,1.8617769107217181
2128,11.771680922963327,1.8759477695939633
2131,11.7399157873877,1.9240630355498056
2134,11.792325233774193,2.27077789917298
2137,11.058573186323096,2.100025760695926
2140,12.595284019481934,2.1318732631635866
2144,11.306422097421017,2.175535406418333
2148,11.966012013513614,2.352416495171634
2151,12.336370878111886,2.338190278212598
2155,12.402364453820562,2.4007243896420465
2159,11.54144517974477,2.3894220270605855
2163,12.22691346865536,2.4826663452218383
2167,11.858977393412266,2.6732447799725407
2172,12.103594708997798,2.7053634443714687
2176,12.050369276193932,2.5536706974992858
2181,12.054492673497139,2.371206317190394
2186,12.193021225368948,2.5441405524860565
2190,10.78526426071009,2.258383123699205
2193,11.653045349586854,2.6590394955728254
2197,11.569018648682334,2.667954922604526
2200,12.170737866891828,2.5543796634329308
2203,10.902685392636911,2.48172297535019
2207,11.630778626455596,2.4682732976178796
2212,12.037085803884596,2.413482743849493
2216,10.988725754787078,2.493870572061284
2221,12.053719340474663,2.526176561167373
2225,11.941592747693317,2.640008834646988
2229,12.13698474648993,2.469764619797117
2234,11.34638295529897,2.490719007653511
2238,11.90393646046088,2.5036916504335145
2243,12.204987202990928,2.625670108817285
2248,10.946735291745798,2.4206787553984985
2253,10.917484785270243,2.6712197266297744
2258,11.487097095090007,2.7281366109288636
2263,11.223101222156568,2.9205230689760864
2267,11.889275573683863,3.0550415852207307
2272,11.852721546969205,2.989555376284867
2276,11.961673959435265,2.916694190372452
2280,11.848649988226706,3.2340976457470343
2284,11.10870406882241,3.012925355780895
2287,11.715745626863587,2.956023965807418
2291,11.648780846061445,3.433850105009873
2294,12.09472287833262,3.2716815299916227
2298,11.537796354514564,3.2484219096725084
2303,12.265768059857113,3.7375622529821366
2308,11.706674073997275,3.7671798374236753
2314,11.752955841809353,3.694174015589233
2319,12.446851613990596,3.5696037378108487
2323,12.732730675027652,3.893249628490477
2327,11.662914563404396,3.701233789690786
2331,12.8843706421628,3.9716229092301676
2335,13.004453229926419,3.7741067284362497
2340,12.210651363803745,3.6582157971753437
2345,12.183490671988464,3.5447572884671437
2351,12.521727442588622,3.7366915245391046
2357,12.292580963783305,3.8715583115661816
2363,12.561327071816091,3.639098024524328
2368,12.649017290086299,3.892647402074488
2373,12.458007455923964,3.60879533343492
2378,13.576083840992478,4.189308578171328
2383,12.40582883115105,3.8468580924367504
2387,13.643154889981849,3.660523322377093
2392,13.36849517610156,3.7345534544004546
2396,12.74135016321274,3.6857283672765924
2401,13.713223797456036,4.046779740649501
2406,12.835735311060953,3.6332590428236506
2412,13.476389353039707,3.7001402240961285
2418,12.799704083609981,3.595618236807138
2423,12.54155494253829,3.4244619013148836
2428,12.815051035116756,3.5745501971869915
2432,12.66542697424136,3.4723428968526915
2437,13.67968149808741,3.850308042439625
2441,13.615590303778909,4.116356837607205
2446,13.653320668870263,3.9839007793421226
2452,12.875882228998615,3.5364375926899814
2458,12.114448130979513,3.6733041546049394
2464,13.41509049851451,3.6569166910895117
2469,12.775297281832046,3.746079530132873
2474,12.424252326907721,3.6444091355537886
2478,13.436504194840614,3.8822961608450326
2481,13.30298098638618,3.7114437007814964
2484,12.827533561150016,3.841619448300289
2488,13.078660690422419,3.614712314908104
2492,12.422050607028051,3.506160071725466
2497,12.975230672558625,3.596886653605594
2502,12.57376417144804,3.740330929656718
2507,12.375671393449293,3.7458494783957037
2512,11.728855776200936,3.5278736887802506
2517,11.489321829634425,3.4740254895010585
2521,12.47729423461282,3.5781936689578915
2525,11.622435374448282,3.283714754244889
2528,11.211798085388743,2.9286869318116917
2532,11.693467598758138,2.9195991412991344
2536,11.150030065732455,2.902899725532974
2541,12.177311967089922,3.436425710541524
2545,11.940015212245024,3.236203721573118
2550,11.18994042491377,3.0554220960151315
2554,12.37439927919522,3.3591294661115283
2558,12.419373024419091,3.1695304668976463
2562,12.416653111975366,3.2086767413255846
2565,12.395282720751664,3.5316964639262456
2569,11.766428498129939,3.3031459716257756
2573,12.08224179326084,3.3316189897798476
2578,12.821644166915709,3.4001510720824903
2584,12.37644229944956,3.4791977192373276
2589,12.474543237845891,3.4876483784779806
2595,11.565193322162967,2.9467397049659887
2601,11.58007594553157,3.321164372826662
2606,13.230088839712186,3.713097337440855
