height,u,v
8.710000000000000000e+02,9.727451310145399432e+00,1.245056990698620858e+01
8.760000000000000000e+02,9.789017457677966050e+00,1.252937098234687952e+01
8.810000000000000000e+02,9.789017457677966050e+00,1.252937098234687952e+01
8.860000000000000000e+02,9.850583605210530891e+00,1.260817205770755223e+01
8.920000000000000000e+02,9.850583605210530891e+00,1.260817205770755223e+01
8.970000000000000000e+02,9.912149752743097508e+00,1.268697313306822494e+01
9.030000000000000000e+02,9.912149752743097508e+00,1.268697313306822494e+01
9.090000000000000000e+02,9.973715900275662349e+00,1.276577420842889588e+01
9.150000000000000000e+02,9.973715900275662349e+00,1.276577420842889588e+01
9.210000000000000000e+02,1.003528204780822897e+01,1.284457528378956859e+01
9.270000000000000000e+02,1.003528204780822897e+01,1.284457528378956859e+01
9.330000000000000000e+02,1.009684819534079381e+01,1.292337635915023952e+01
9.400000000000000000e+02,1.009684819534079381e+01,1.292337635915023952e+01
9.460000000000000000e+02,9.929947882008798743e+00,1.317748591578033235e+01
9.510000000000000000e+02,9.929947882008798743e+00,1.317748591578033235e+01
9.560000000000000000e+02,9.990129384324003325e+00,1.325734946678506176e+01
9.600000000000000000e+02,1.005031088663920791e+01,1.333721301778978940e+01
9.650000000000000000e+02,1.005031088663920791e+01,1.333721301778978940e+01
9.690000000000000000e+02,1.011049238895441249e+01,1.341707656879452060e+01
9.740000000000000000e+02,1.011049238895441249e+01,1.341707656879452060e+01
9.790000000000000000e+02,9.933570763742793019e+00,1.367238720493661042e+01
9.840000000000000000e+02,9.933570763742793019e+00,1.367238720493661042e+01
9.890000000000000000e+02,9.992349288972041776e+00,1.375328890437410578e+01
9.950000000000000000e+02,9.992349288972041776e+00,1.375328890437410578e+01
1.000000000000000000e+03,1.005112781420128876e+01,1.383419060381160293e+01
1.005000000000000000e+03,1.005112781420128876e+01,1.383419060381160293e+01
1.010000000000000000e+03,1.010990633943053574e+01,1.391509230324909474e+01
1.016000000000000000e+03,1.016868486465978449e+01,1.399599400268659188e+01
1.022000000000000000e+03,1.016868486465978449e+01,1.399599400268659188e+01
1.028000000000000000e+03,1.022746338988902970e+01,1.407689570212408370e+01
1.033000000000000000e+03,1.022746338988902970e+01,1.407689570212408370e+01
1.038000000000000000e+03,1.028624191511827846e+01,1.415779740156158084e+01
1.043000000000000000e+03,1.028624191511827846e+01,1.415779740156158084e+01
1.048000000000000000e+03,1.034502044034752544e+01,1.423869910099907621e+01
1.053000000000000000e+03,1.059194440747605270e+01,1.405598497683235415e+01
1.058000000000000000e+03,1.059194440747605270e+01,1.405598497683235415e+01
1.063000000000000000e+03,1.065212590979125551e+01,1.413584852783708179e+01
1.068000000000000000e+03,1.065212590979125551e+01,1.413584852783708179e+01
1.074000000000000000e+03,1.065212590979125551e+01,1.413584852783708179e+01
1.081000000000000000e+03,1.065212590979125551e+01,1.413584852783708179e+01
1.088000000000000000e+03,1.089720811326414918e+01,1.394779033883897945e+01
1.094000000000000000e+03,1.095877426079671579e+01,1.402659141419965216e+01
1.099000000000000000e+03,1.095877426079671579e+01,1.402659141419965216e+01
1.104000000000000000e+03,1.095877426079671579e+01,1.402659141419965216e+01
1.108000000000000000e+03,1.113897092158212487e+01,1.375548351778838274e+01
1.112000000000000000e+03,1.113897092158212487e+01,1.375548351778838274e+01
1.117000000000000000e+03,1.113897092158212487e+01,1.375548351778838274e+01
1.121000000000000000e+03,1.137734069145174409e+01,1.355898664320591251e+01
1.125000000000000000e+03,1.137734069145174409e+01,1.355898664320591251e+01
