height,u,v
1.839000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.844000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.849000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.855000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.861000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.866000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.872000000000000000e+03,1.585759506298907340e+01,9.528204385836007262e+00
1.877000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.883000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.889000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.895000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.900000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.906000000000000000e+03,1.602146997001210948e+01,9.250000000000008882e+00
1.912000000000000000e+03,1.618046458207882310e+01,8.968977974557232002e+00
1.917000000000000000e+03,1.618046458207882310e+01,8.968977974557232002e+00
1.921000000000000000e+03,1.609300261136488075e+01,8.920497012532596415e+00
1.926000000000000000e+03,1.609300261136488075e+01,8.920497012532596415e+00
1.930000000000000000e+03,1.609300261136488075e+01,8.920497012532596415e+00
1.934000000000000000e+03,1.609300261136488075e+01,8.920497012532596415e+00
1.939000000000000000e+03,1.624623570860425659e+01,8.638276755260388740e+00
1.944000000000000000e+03,1.615794094931836611e+01,8.591329598981801041e+00
1.948000000000000000e+03,1.615794094931836611e+01,8.591329598981801041e+00
1.953000000000000000e+03,1.615794094931836611e+01,8.591329598981801041e+00
1.958000000000000000e+03,1.615794094931836611e+01,8.591329598981801041e+00
1.962000000000000000e+03,1.606964619003247208e+01,8.544382442703211566e+00
1.967000000000000000e+03,1.606964619003247208e+01,8.544382442703211566e+00
1.972000000000000000e+03,1.606964619003247208e+01,8.544382442703211566e+00
1.978000000000000000e+03,1.606964619003247208e+01,8.544382442703211566e+00
1.984000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
1.990000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
1.996000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
2.000000000000000000e+03,1.598135143074657982e+01,8.497435286424623868e+00
