geopotential height_m,wind direction_degree,wind speed_m/s
4239,248,19.8
4243,249,19.8
4247,249,19.9
4251,249,19.9
4255,249,20
4260,249,20
4264,249,20
4268,249,20
4273,249,20
4277,249,20
4282,249,20
4287,249,20
4293,249,20
4298,249,19.9
4304,249,19.9
4309,249,19.9
4314,249,19.8
4319,249,19.7
4325,249,19.7
4331,249,19.6
4336,249,19.6
4342,249,19.5
4347,249,19.4
4351,249,19.4
4355,249,19.3
4358,249,19.3
4362,249,19.2
4365,249,19.2
4370,250,19.1
4374,250,19.1
4379,250,19.1
4384,250,19.1
4389,250,19
4394,250,19
4399,250,19
4404,251,19
4409,251,19
4414,251,19
4420,251,19
4425,251,19
4431,251,19
4436,252,19
4442,252,19
4447,252,19.1
4453,252,19.1
4458,252,19.1
4464,252,19.1
4470,252,19.2
4476,252,19.2
4481,252,19.2
4486,252,19.3
4490,252,19.3
4494,252,19.4
4498,252,19.4
4503,252,19.5
4508,252,19.6
4513,252,19.7
4518,252,19.8
4524,252,19.9
4530,252,19.9
4536,252,20
4542,252,20.1
4548,252,20.2
4554,252,20.3
4560,252,20.4
4566,252,20.5
4572,252,20.6
4578,252,20.7
4584,252,20.8
4589,252,20.9
4595,252,20.9
4600,252,21
4605,252,21
4609,252,21.1
4613,253,21.1
4618,253,21.1
4623,253,21.1
4628,253,21.1
4633,253,21.1
4638,253,21.1
4642,253,21.1
4647,253,21
4652,253,21
4657,253,21
4662,253,20.9
4667,253,20.9
4672,253,20.8
4677,253,20.8
4682,253,20.8
4687,253,20.7
4691,253,20.7
4696,253,20.7
4702,253,20.6
4707,253,20.6
4713,253,20.6
4719,254,20.6
4724,254,20.6
4730,254,20.5
4736,254,20.5
4742,254,20.5
4749,254,20.5
4755,254,20.5
4760,254,20.5
4765,254,20.6
4769,254,20.6
4773,255,20.6
4777,255,20.6
4781,255,20.6
4785,255,20.7
4789,255,20.7
4793,255,20.8
4798,255,20.8
4802,255,20.8
4807,255,20.9
4811,255,21
4816,255,21
4821,256,21.1
4826,256,21.1
4831,256,21.2
4836,256,21.3
4842,256,21.3
4847,256,21.4
4852,256,21.5
4858,256,21.5
4863,256,21.6
4868,256,21.7
4872,256,21.7
4876,256,21.8
4880,256,21.8
4884,256,21.8
4889,256,21.8
4893,256,21.9
4898,256,21.9
4903,256,21.9
4909,256,21.8
4914,256,21.8
4920,255,21.8
4925,255,21.8
4930,255,21.7
4935,255,21.7
4939,255,21.6
4944,254,21.6
4948,254,21.5
4953,254,21.4
4958,254,21.4
4963,253,21.3
4968,253,21.2
4974,253,21.2
4979,253,21.1
4985,252,21.1
4990,252,21
4996,252,21
5001,252,20.9
5007,251,20.9
5013,251,20.9
5019,251,20.8
5026,251,20.8
5033,250,20.8
5039,250,20.8
5045,250,20.8
5051,250,20.8
5057,250,20.9
5063,250,20.9
5069,249,21
5074,249,21
5080,249,21.1
5085,249,21.1
5090,249,21.2
5094,249,21.3
5099,249,21.4
5104,249,21.4
5110,249,21.5
5114,249,21.6
5118,249,21.7
5121,248,21.8
5125,248,21.9
5128,248,22.1
5132,248,22.2
5136,248,22.3
5139,248,22.4
5143,248,22.5
5147,248,22.6
5150,248,22.7
5154,248,22.8
5158,248,22.9
5162,248,22.9
5165,248,23
5169,248,23.1
5172,248,23.2
5176,248,23.2
5179,248,23.3
5183,248,23.4
5187,248,23.4
5190,248,23.5
5194,248,23.5
5197,248,23.6
5201,248,23.6
5205,248,23.6
5209,248,23.7
5213,248,23.7
5217,248,23.7
5221,248,23.8
5226,248,23.8
5231,248,23.8
5236,248,23.8
5241,248,23.8
5246,248,23.8
5251,248,23.8
5256,248,23.8
5261,248,23.8
5266,248,23.8
5271,248,23.8
5276,248,23.8
5280,248,23.8
5284,248,23.8
5289,248,23.8
5294,248,23.8
5299,248,23.8
5305,248,23.8
5311,248,23.8
5318,248,23.8
5323,249,23.8
5329,249,23.9
5333,249,23.9
5338,249,23.9
5341,249,24
5345,249,24
5350,249,24.1
5354,249,24.2
5359,249,24.2
5364,249,24.3
5369,249,24.4
5373,249,24.5
5377,248,24.6
5381,248,24.7
5385,248,24.8
5389,248,24.9
5394,248,25
5398,248,25.1
5401,248,25.2
5405,248,25.3
5408,248,25.4
5412,248,25.5
5416,248,25.6
5420,248,25.7
5425,248,25.8
5430,248,25.9
5435,248,26
5440,248,26
5445,248,26.1
5450,248,26.2
5454,248,26.2
5458,248,26.3
5462,248,26.3
5466,248,26.4
5470,248,26.4
5475,248,26.4
5480,249,26.5
5485,249,26.5
5491,249,26.5
5497,249,26.6
5503,249,26.6
5509,250,26.6
5514,250,26.7
5519,250,26.7
5524,250,26.7
5529,251,26.8
5534,251,26.8
5539,251,26.9
5545,251,26.9
5551,251,26.9
5556,252,27
5561,252,27
5566,252,27
5570,252,27
5574,252,27.1
5578,252,27.1
5582,252,27.1
5586,252,27.1
5590,252,27.1
5594,252,27.1
5598,252,27.1
5602,252,27.1
5607,252,27.1
5612,252,27.1
5617,252,27.1
5622,252,27.1
5627,252,27.1
5632,252,27.1
5637,252,27.1
5642,252,27.1
5646,252,27
5650,252,27
5655,252,27
5660,252,27
5665,252,27
5671,252,27.1
5678,252,27.1
