h,theta,speed
3048,261,12.7
3054,261,12.7
3058,260,12.7
3063,260,12.8
3068,260,12.8
3074,260,12.8
3079,260,12.9
3084,260,12.9
3090,260,12.9
3096,260,13
3101,260,13
3106,260,13
3111,261,13.1
3116,261,13.1
3120,261,13.1
3124,261,13.2
3128,261,13.2
3131,262,13.3
3135,262,13.3
3139,262,13.3
3141,262,13.4
3143,262,13.4
3148,263,13.4
3152,263,13.5
3157,263,13.5
3162,264,13.6
3168,264,13.6
3174,264,13.7
3179,265,13.7
3184,265,13.7
3189,265,13.8
3193,266,13.8
3197,266,13.8
3201,266,13.9
3206,267,13.9
3210,267,13.9
3216,267,13.9
3221,268,13.9
3226,268,13.8
3232,269,13.8
3238,269,13.8
3243,269,13.7
3249,270,13.7
3256,270,13.6
3261,271,13.5
3267,271,13.4
3272,271,13.4
3277,272,13.3
3282,272,13.2
3286,273,13.1
3290,273,13
3295,273,12.9
3301,274,12.8
3306,274,12.7
3312,275,12.6
3317,275,12.4
3322,275,12.3
3326,276,12.2
3330,276,12.1
3333,276,12
3337,276,12
3340,277,11.9
3344,277,11.8
3348,277,11.7
3353,277,11.6
3357,277,11.5
3362,277,11.5
3366,277,11.4
3371,278,11.3
3375,278,11.3
3380,278,11.2
3386,278,11.2
3391,278,11.1
3397,278,11.1
3403,278,11.1
3408,278,11.1
3413,277,11
3417,277,11
3421,277,11
3425,277,11
3430,277,11
3435,276,11
3439,276,11
3444,276,11.1
3448,275,11.1
3453,275,11.1
3458,275,11.1
3463,274,11.1
3469,274,11.2
3476,273,11.2
3483,273,11.2
3490,272,11.2
3496,272,11.2
3503,271,11.2
3509,271,11.2
3515,270,11.2
3520,270,11.2
3524,270,11.2
3528,269,11.2
3532,269,11.2
3536,268,11.2
3539,268,11.1
3544,268,11.1
3548,267,11
3552,267,11
3556,267,10.9
3560,267,10.9
3563,266,10.8
3566,266,10.8
3569,266,10.7
3572,266,10.7
3576,266,10.6
3579,266,10.6
3583,266,10.5
3586,265,10.5
3590,265,10.5
3593,265,10.4
3597,265,10.4
3600,265,10.4
3604,265,10.4
3608,265,10.4
3612,265,10.4
3616,265,10.4
3620,265,10.4
3623,265,10.4
3627,265,10.4
3630,265,10.4
3633,265,10.4
3636,265,10.4
3639,265,10.4
3642,265,10.4
3646,265,10.4
3649,265,10.4
3652,265,10.4
3656,265,10.4
3660,266,10.4
3664,266,10.4
3667,266,10.3
3671,267,10.3
3674,267,10.3
3678,267,10.3
3682,268,10.3
3686,268,10.3
3690,269,10.2
3695,269,10.2
3700,270,10.2
3704,270,10.2
3709,271,10.2
3714,271,10.2
3719,272,10.2
3725,272,10.2
3731,273,10.2
3737,273,10.2
3744,274,10.2
3750,274,10.2
3757,274,10.2
3764,274,10.2
3770,275,10.2
3775,275,10.2
3779,275,10.2
3783,274,10.2
3787,274,10.2
3790,274,10.2
3793,274,10.2
