h,u,v
1211,11.69032465160484,-8.86750732294045
1216,11.786676538674758,-9.57860747765782
1222,12.14235515781495,-8.074741620099875
1228,12.225606443900656,-10.407686736042074
1233,11.705893239840554,-8.999152061447594
1238,13.7057014471719,-9.505931225450194
1243,12.271080750926279,-9.95521535268539
1249,11.553520610473676,-8.97265784853514
1255,11.429568235633042,-7.66958531426818
1261,13.598928709934203,-9.656766104597828
1267,11.652586782169331,-7.475323027182013
1272,11.33682406924995,-7.758342443944785
1278,11.883591765128248,-8.278677682158369
1282,13.296099259781945,-7.423784985114849
1287,12.395558803307614,-6.855277170660294
1292,12.892878688085876,-7.1409166236739825
1298,13.758008212837312,-10.390629896164787
1304,12.411544946520767,-8.59895700425492
1312,11.545565357944962,-8.228053257918376
1319,12.065768864785488,-9.04180047841276
1327,12.993638846989091,-8.104600953977835
1333,14.296549696874932,-8.690543869272435
1338,12.143274641597856,-7.716893356845955
1342,13.7079318599201,-6.776213236028169
1346,11.600446775731173,-7.687855557168261
1351,14.796805511321358,-9.177991101633236
1356,14.710592042354111,-8.564532155005091
1361,14.56932952257298,-7.266403604115949
1367,13.405776104684838,-7.090433368133022
1372,12.883987421707307,-7.072065349908016
1378,12.896567144833288,-8.825473577411003
1384,12.418229415387211,-7.35167832730084
1389,15.037484412381277,-7.355756503470898
1391,12.528525527764774,-6.7259309046760185
1395,12.526547607663263,-8.082741309705895
1401,13.35520496591063,-8.78499168988211
1407,13.316633247376462,-9.052079560894871
1412,12.649815553230157,-8.426321278140357
1417,12.328772087434784,-6.892886873160368
1421,13.121112841184145,-6.991496157163769
1424,13.960627574644635,-9.335504322413108
1427,12.674605512559634,-8.296768963446809
1432,12.679544534347116,-8.196029911624342
1436,12.785212349218853,-6.890109946735184
1442,13.168614745960946,-9.44144715610596
1449,11.270907476658172,-8.229184771331695
1456,11.639024294927918,-8.041432096358685
1462,12.395382860325828,-7.783281434434802
1467,14.183170249496664,-8.95135745768701
1471,13.264313443054638,-8.591093845286562
1475,12.59647573109772,-6.710825429261968
1479,14.813632344452792,-9.343075063585685
1484,13.529294004635132,-8.815757732595907
1490,15.454233831824197,-8.325738880980769
1496,13.388476618928939,-7.737476678504281
1501,13.720397346779919,-9.555075952380573
1506,14.382366511908012,-10.38005990147848
1511,13.748715333731392,-10.296590412625065
1515,15.026968825258717,-9.145253378438294
1519,14.182638735835162,-11.07958960223918
1523,15.853663232073488,-9.953173649472635
1526,15.008747629609747,-8.94398981015767
1530,16.013341829286404,-10.131766032043183
1534,14.902027218078345,-8.13580458842578
1538,14.340568060835565,-10.521371070824602
1541,15.42431809278319,-11.467032062237553
1545,16.550306701862844,-9.859884170122976
1550,15.027076657410046,-9.576010385790745
1554,15.608876580343832,-11.336384984757073
1560,16.50329062368868,-11.744501915862314
1565,16.011985394013543,-11.519825827213047
1570,15.698410408832183,-8.684184246884106
1574,16.549508305145807,-8.520674561030665
1578,16.042441106725974,-10.597159786187678
1582,14.262093878279297,-9.129685531580567
1586,16.199835074068478,-10.170411267518423
1591,15.828504901596506,-8.73543836674043
